MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
983.90440000002	641.998107910156	2	6.26042	37
992.23639999998	631.010009765625	2	1.23097	14
1007.00779999998	561.451354980469	2	3.49885	52
1049.22049999998	580.425048828125	2	2.2783	106
1064.03320000002	561.453674316406	2	2.59158	46
1082.90230000002	553.465759277344	2	4.20271	139
1087.84519999998	572.43994140625	2	2.60929	110
1103.73610000002	553.46533203125	2	4.13675	119
1111.34320000002	561.451232910156	2	2.40774	55
1125.08899999998	553.466125488281	2	3.72591	54
1138.94410000002	465.940887451172	2	5.8352	90
1161.5718	468.940521240234	2	6.03297	107
1179.369	553.96728515625	2	6.12915	95
1198.58089999998	484.913299560547	2	3.57372	110
1215.43480000002	553.467041015625	2	3.85284	133
1229.75479999998	553.463500976563	2	3.76837	124
1237.4898	553.467102050781	2	3.63021	114
1254.62500000002	545.479614257813	2	4.43249	127
1280.71660000002	564.448303222656	2	4.34175	102
1294.57450000002	572.440246582031	2	2.56208	89
1309.44529999998	553.466247558594	2	4.17984	48
1330.2657	553.466247558594	2	3.25244	79
1349.6565	561.459167480469	2	1.50668	38
1365.51850000002	553.466247558594	2	4.92976	36
1386.36979999998	545.481628417969	2	3.49268	86
1400.23639999998	545.477294921875	2	3.82773	92
1417.1169	572.942993164063	2	4.035	75
1618.92049999998	454.930755615234	3	10.6124	219
1640.69410000002	454.92822265625	3	11.437	227
1663.9026	454.929901123047	3	9.76473	185
1674.29380000002	495.277435302734	4	13.586	236
1864.4727	458.228515625	3	11.0893	266
2150.1015	548.28271484375	2	5.94047	133
2261.84539999998	608.789306640625	2	6.54491	198
2314.0881	498.742370605469	2	5.32485	162
2528.53150000002	434.778411865234	2	6.80874	95
2545.22830000002	686.700744628906	3	14.7747	296
2565.69220000002	686.698913574219	3	12.6392	243
2590.5462	440.268096923828	3	15.5281	168
2612.53030000002	440.267974853516	3	16.4087	181
2618.04229999998	507.798980712891	2	13.1187	143
2637.53770000002	434.779998779297	2	10.4415	92
2659.71400000002	434.7802734375	2	12.9277	103
2680.2	434.779541015625	2	16.1717	97
2717.80489999998	425.775024414063	2	18.0144	109
2899.60000000002	441.787750244141	2	10.8196	135
2933.65510000002	484.788208007813	2	10.1068	122
2949.4068	514.300109863281	2	11.4009	135
2964.7983	484.787628173828	2	10.9827	94
3048.03250000002	456.774627685547	2	16.1352	178
3065.0679	581.326782226563	2	3.37776	92
3078.9207	456.774688720703	2	14.6597	147
3154.97290000002	506.974090576172	3	11.4067	253
3159.04270000002	417.919403076172	3	15.656	112
3177.47410000002	506.973663330078	3	10.1968	208
3199.15960000002	457.266845703125	2	16.0813	151
3213.94960000002	566.988098144531	3	12.5344	227
3222.1623	457.266662597656	2	14.9416	129
3238.4514	600.670349121094	3	13.6272	294
3259.06759999998	600.669921875	3	11.2858	244
3316.72990000002	573.85986328125	2	7.53337	181
3329.42200000002	573.863403320313	2	6.99384	154
3436.31350000002	656.852844238281	2	9.30006	73
3458.29300000002	422.592071533203	3	9.89773	119
3483.49909999998	422.593170166016	3	10.3345	132
3499.22680000002	626.339965820313	2	12.2786	123
3519.82729999998	626.340270996094	2	11.8298	123
3616.22920000002	461.281677246094	2	24.3474	119
3637.23400000002	461.281372070313	2	24.7972	123
3643.62649999998	645.846130371094	2	10.0322	228
3657.82849999998	461.281616210938	2	19.6835	100
3664.1793	645.846130371094	2	6.91558	147
3708.5832	567.333984375	2	16.1945	133
3716.7717	567.337341308594	2	17.4176	149
3737.13739999998	567.337097167969	2	14.9917	118
3820.98379999998	404.233276367188	2	5.03708	59
3861.6999	509.803924560547	2	3.17458	37
3885.85639999998	409.600433349609	3	10.9203	139
3925.94659999998	434.759002685547	2	4.91333	68
3940.73200000002	644.348937988281	2	12.3137	161
3952.48309999998	406.248260498047	2	6.98429	64
3962.49280000002	644.352783203125	2	7.21001	80
3976.29859999998	406.247772216797	2	4.70068	45
4007.04520000002	664.864379882813	2	9.66722	154
4021.59559999998	545.317443847656	2	5.74713	77
4064.28229999998	436.774444580078	2	7.70751	46
4118.96479999998	567.332397460938	2	4.68718	62
4161.68599999998	458.788543701172	2	6.75936	64
4187.3271	589.346740722656	2	3.72797	60
4256.07670000002	480.801940917969	2	4.48756	53
4391.52010000002	540.348266601563	2	10.6407	211
4408.6047	702.928466796875	2	9.60718	209
4415.85880000002	540.347595214844	2	9.26294	167
4421.5908	468.953369140625	3	13.3337	187
4429.34179999998	702.927551269531	2	10.1366	214
4441.90300000002	468.953063964844	3	14.4376	191
4450.10770000002	702.927551269531	2	10.0973	199
4454.3532	416.693969726563	2	22.6216	128
4474.71850000002	416.693389892578	2	21.8833	126
4486.52200000002	416.695495605469	2	20.6567	122
4496.7798	560.843383789063	2	10.3027	203
4514.94379999998	570.639038085938	3	9.76019	199
4518.65050000002	560.843322753906	2	9.32701	178
4527.5814	855.459350585938	2	6.00442	137
4535.71180000002	570.640686035156	3	8.63318	209
4539.01720000002	643.365478515625	2	5.80237	129
4553.76649999998	495.822052001953	2	8.11369	183
4565.6475	483.325042724609	2	9.74331	164
4574.0073	736.449951171875	2	6.90575	211
4596.25009999998	652.914184570313	2	9.28649	224
4607.68579999998	916.799255371094	3	3.47014	141
4617.05359999998	652.914306640625	2	9.37028	207
4640.8167	588.875183105469	2	7.74743	141
4654.26220000002	533.849914550781	2	5.59745	96
4686.83860000002	531.852355957031	2	9.72753	168
4705.95379999998	548.315551757813	2	6.30497	118
4726.60999999998	586.887145996094	2	6.94011	134
4742.89720000002	619.875244140625	2	7.80778	235
4750.85650000002	540.347717285156	2	10.3464	210
4761.56410000002	562.359130859375	2	9.17832	154
4777.2495	540.347351074219	2	11.0137	195
4784.8965	906.134887695313	3	4.15321	271
4805.60800000002	617.394592285156	2	9.37526	234
4812.6711	676.905151367188	2	9.76984	224
4819.84729999998	523.355712890625	2	11.7422	279
4831.81429999998	451.604095458984	3	16.7461	119
4836.98359999998	676.904296875	2	9.04841	213
4845.7185	523.355163574219	2	11.8436	235
4931.53369999998	552.376220703125	2	8.93292	225
4943.76760000002	709.935852050781	2	7.27355	239
4968.17449999998	709.935119628906	2	6.73135	201
5011.10719999998	607.910766601563	2	11.377	195
5032.15009999998	607.912475585938	2	9.71328	157
5091.68230000002	900.804382324219	3	4.85967	366
5112.90349999998	900.804443359375	3	4.55403	285
5119.9203	540.856872558594	2	10.1546	229
5187.0588	565.818603515625	2	20.5246	84
5200.24399999998	486.802398681641	2	5.36863	58
5384.53900000002	596.370239257813	2	8.72616	52
5400.6417	604.8837890625	2	10.9001	72
5407.773	596.370483398438	2	8.48383	51
5417.51800000002	600.315795898438	2	7.94878	71
5433.64009999998	626.895935058594	2	8.83903	53
5449.77460000002	618.384399414063	2	7.37522	85
5457.0009	635.410278320313	2	7.91266	51
5470.19470000002	626.897033691406	2	7.34558	42
5478.7974	618.383544921875	2	4.79658	55
5488.25440000002	635.412841796875	2	7.57466	43
5506.9482	640.398742675781	2	12.8534	43
6218.23150000002	622.344543457031	2	22.4785	68
6219.33220000002	614.359497070313	2	24.5079	84
6220.25569999998	424.216247558594	2	19.9822	119
6222.54079999998	820.468566894531	2	1.2897	29
6223.6104	614.356140136719	2	24.4482	124
6227.10370000002	1010.61010742188	2	1.35716	29
6230.45989999998	1018.59002685547	2	1.33196	31
6234.6642	1018.59564208984	2	1.29916	33
6236.4003	606.366516113281	2	15.1646	101
6240.94450000002	614.359802246094	2	22.803	91
6243.00250000002	424.217620849609	2	17.8633	111
6246.43609999998	622.345275878906	2	18.6124	72
6249.46930000002	424.215240478516	2	15.4424	112
7150.59379999998	436.089904785156	2	10.8369	164

